col1,rain,col3,date,year,month,day,doy
"Jan 1, 2000",0,2000,2000-01-01,2000,1,1,1
"Jan 2, 2000",0,2000,2000-01-02,2000,1,2,2
"Jan 3, 2000",3.711,2000,2000-01-03,2000,1,3,3
"Jan 4, 2000",25.976,2000,2000-01-04,2000,1,4,4
"Jan 5, 2000",0,2000,2000-01-05,2000,1,5,5
"Jan 6, 2000",0,2000,2000-01-06,2000,1,6,6
"Jan 7, 2000",0,2000,2000-01-07,2000,1,7,7
"Jan 8, 2000",0,2000,2000-01-08,2000,1,8,8
"Jan 9, 2000",1.936,2000,2000-01-09,2000,1,9,9
"Jan 10, 2000",3.871,2000,2000-01-10,2000,1,10,10
"Jan 11, 2000",0,2000,2000-01-11,2000,1,11,11
"Jan 12, 2000",0,2000,2000-01-12,2000,1,12,12
"Jan 13, 2000",0,2000,2000-01-13,2000,1,13,13
"Jan 14, 2000",0,2000,2000-01-14,2000,1,14,14
"Jan 15, 2000",0,2000,2000-01-15,2000,1,15,15
"Jan 16, 2000",0,2000,2000-01-16,2000,1,16,16
"Jan 17, 2000",0,2000,2000-01-17,2000,1,17,17
"Jan 18, 2000",0,2000,2000-01-18,2000,1,18,18
"Jan 19, 2000",0,2000,2000-01-19,2000,1,19,19
"Jan 20, 2000",0,2000,2000-01-20,2000,1,20,20
"Jan 21, 2000",0,2000,2000-01-21,2000,1,21,21
"Jan 22, 2000",0,2000,2000-01-22,2000,1,22,22
"Jan 23, 2000",0,2000,2000-01-23,2000,1,23,23
"Jan 24, 2000",0,2000,2000-01-24,2000,1,24,24
"Jan 25, 2000",8.813,2000,2000-01-25,2000,1,25,25
"Jan 26, 2000",0,2000,2000-01-26,2000,1,26,26
"Jan 27, 2000",0,2000,2000-01-27,2000,1,27,27
"Jan 28, 2000",0,2000,2000-01-28,2000,1,28,28
"Jan 29, 2000",0,2000,2000-01-29,2000,1,29,29
"Jan 30, 2000",0,2000,2000-01-30,2000,1,30,30
"Jan 31, 2000",11.238,2000,2000-01-31,2000,1,31,31
"Feb 1, 2000",0,2000,2000-02-01,2000,2,1,32
"Feb 2, 2000",0,2000,2000-02-02,2000,2,2,33
"Feb 3, 2000",3.258,2000,2000-02-03,2000,2,3,34
"Feb 4, 2000",0,2000,2000-02-04,2000,2,4,35
"Feb 5, 2000",0,2000,2000-02-05,2000,2,5,36
"Feb 6, 2000",0,2000,2000-02-06,2000,2,6,37
"Feb 7, 2000",0,2000,2000-02-07,2000,2,7,38
"Feb 8, 2000",0,2000,2000-02-08,2000,2,8,39
"Feb 9, 2000",1.962,2000,2000-02-09,2000,2,9,40
"Feb 10, 2000",0,2000,2000-02-10,2000,2,10,41
